game_date,player_name,position,team_abbreviation,matchup,wl,min,pts,reb,ast,stl,blk,tov,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct
2024-04-14,Andrew Nembhard,G-F,IND,IND vs. ATL,W,23,10,2,5,1,0,1,4,5,0.8,2,3,0.667
2024-04-14,De'Andre Hunter,F-G,ATL,ATL @ IND,L,27,6,2,1,0,0,1,0,6,0.0,0,2,0.0
2024-04-14,Tyrese Haliburton,G,IND,IND vs. ATL,W,25,12,2,13,3,1,2,5,10,0.5,0,4,0.0
2024-04-14,Aaron Nesmith,G-F,IND,IND vs. ATL,W,20,8,3,1,1,0,0,3,3,1.0,1,1,1.0
2024-04-14,Trent Forrest,G,ATL,ATL @ IND,L,6,0,3,2,0,0,0,0,0,,0,0,
2024-04-14,Vit Krejci,G,ATL,ATL @ IND,L,22,0,5,5,0,0,1,0,2,0.0,0,2,0.0
2024-04-14,Kendall Brown,G,IND,IND vs. ATL,W,10,4,1,1,0,0,1,2,4,0.5,0,1,0.0
2024-04-14,Quenton Jackson,G,IND,IND vs. ATL,W,7,0,1,2,1,0,0,0,1,0.0,0,0,
2024-04-14,Jarace Walker,F,IND,IND vs. ATL,W,10,8,5,1,1,0,1,3,5,0.6,2,3,0.667
2024-04-14,Kobe Bufkin,G,ATL,ATL @ IND,L,7,2,1,0,0,0,0,1,3,0.333,0,1,0.0
2024-04-14,Mouhamed Gueye,F,ATL,ATL @ IND,L,27,19,9,0,2,3,0,6,11,0.545,2,3,0.667
2024-04-14,Doug McDermott,F,IND,IND vs. ATL,W,18,15,1,1,0,0,0,6,9,0.667,3,5,0.6
2024-04-14,T.J. McConnell,G,IND,IND vs. ATL,W,15,17,4,8,0,0,1,7,11,0.636,3,4,0.75
2024-04-14,Dejounte Murray,G,ATL,ATL @ IND,L,31,32,3,3,1,0,3,13,19,0.684,4,6,0.667
2024-04-14,Bruno Fernando,F-C,ATL,ATL @ IND,L,21,12,2,1,0,0,1,3,5,0.6,0,0,
2024-04-14,Garrison Mathews,G,ATL,ATL @ IND,L,21,6,0,0,1,1,0,2,5,0.4,2,5,0.4
2024-04-14,Obi Toppin,F,IND,IND vs. ATL,W,12,7,2,3,1,0,2,2,6,0.333,1,4,0.25
2024-04-14,Jalen Smith,F-C,IND,IND vs. ATL,W,19,10,5,2,0,1,2,4,4,1.0,2,2,1.0
2024-04-14,AJ Griffin,F,ATL,ATL @ IND,L,20,8,0,0,0,1,1,4,14,0.286,0,5,0.0
2024-04-14,Ben Sheppard,G,IND,IND vs. ATL,W,26,7,4,2,1,0,0,3,6,0.5,1,3,0.333
2024-04-14,Kevin Love,F-C,MIA,MIA vs. TOR,W,3,0,0,0,0,0,0,0,1,0.0,0,1,0.0
2024-04-14,Jimmy Butler,F,MIA,MIA vs. TOR,W,24,15,5,4,0,0,1,6,9,0.667,0,0,
2024-04-14,Anthony Gill,F,WAS,WAS @ BOS,L,17,12,5,3,0,0,0,5,12,0.417,1,5,0.2
